Iteration,Lap,Theme,Status,Responsible,Supporting,Date,Models,Version,Run method,Period,Domains,Aggregation,Calibration,Geofabric,Routing,Landcover,Soils,Water Management,Forcing,Benchmarks,Notes
2.06,,Base case 1 - MERIT - NALCMS - GSDE - Distributed parameterization-CaSRv3p1,Complete,Zelalem,,10-Nov-25,MESH,1.5.5,domain chunking,1980 - 2023,"All of Canada, including transboundary",100 km^2,No,Merit Hydro,WATroute,NALCMS,GSDE,No,CasR3.1,"KGE, NSE, Bias distribution for CAMEL-spat network",Distributed parameterization: Derived subbasin average MESH parameter values are used 
2.07,,Intitial Climate Change Simulations - full domain (parameterization from iteration 2.01)-CanESM5 Historical,Complete,Sujata,,14-Nov-25,"""",1.5.5,domain chunking,1950 - 2014,"All of Canada, including transboundary",100 km^2,N/A,"""",WATroute,"""","""","""","CMIP6 (downscaled, not bias corrected)","""",
2.08,,Intitial Climate Change Simulations - full domain (parameterization from iteration 2.01)-CanESM5 SSP 1-2.6,Complete,Sujata,,17-Nov-25,"""",1.5.5,domain chunking,2015 - 2100,"All of Canada, including transboundary",100 km^2,N/A,"""",WATroute,"""","""","""","CMIP6 (downscaled, not bias corrected)","""",
2.09,,Intitial Climate Change Simulations - full domain (parameterization from iteration 2.01)-CanESM5 SSP 2-4.5,Complete,Sujata,,10-Dec-25,"""",1.5.5,domain chunking,2015 - 2100,"All of Canada, including transboundary",100 km^2,N/A,"""",WATroute,"""","""","""","CMIP6 (downscaled, not bias corrected)","""",
2.10,,Intitial Climate Change Simulations - full domain (parameterization from iteration 2.01)-CanESM5 SSP 3-7.0,Complete,Sujata,,17-Nov-25,"""",1.5.5,domain chunking,2015 - 2100,"All of Canada, including transboundary",100 km^2,N/A,"""",WATroute,"""","""","""","CMIP6 (downscaled, not bias corrected)","""",
2.11,,Intitial Climate Change Simulations - full domain (parameterization from iteration 2.01)-CanESM5 SSP 5-8.5,Complete,Sujata,,3-Dec-25,"""",1.5.5,domain chunking,2015 - 2100,"All of Canada, including transboundary",100 km^2,N/A,"""",WATroute,"""","""","""","CMIP6 (downscaled, not bias corrected)","""",
2.12,,Base case 1 - MERIT  - NALCMS - GSDE - Lumped parameterization-CaSRv3p2,Complete,Zelalem,,,MESH,1.5.5,domain chunking,1980 - 2023,"All of Canada, including transboundary",100 km^2,No,Merit Hydro,WATroute,NALCMS,GSDE,No,CasR3.1,"KGE, NSE, Bias distribution for CAMEL-spat network",GRU parameterization: Derived GRUs average MESH parameter value are used 
2.13,,Base case 1 - MERIT  - NALCMS - GSDE - Lumped parameterization-ERA5-Land,"In progress, remapping of ERA5-Land",Zelalem,,,MESH,1.5.5,domain chunking,1980 - 2023,"All of Canada, including transboundary",100 km^2,No,Merit Hydro,WATroute,NALCMS,GSDE,No,ERA5-Land,"KGE, NSE, Bias distribution for CAMEL-spat network",GRU parameterization: Derived GRUs average MESH parameter value are used 
2.14,,Intitial Climate Change Simulations - full domain (parameterization from iteration 2.01)-MPI-ESM1-2-LR Historical,In progress,Sujata,,,"""",1.5.5,domain chunking,1950 - 2014,"All of Canada, including transboundary",100 km^2,N/A,"""",WATroute,"""","""","""",TBD,"""",
2.15,,Intitial Climate Change Simulations - full domain (parameterization from iteration 2.01)-CNRM-ESM2-1 Historical,In progress,Sujata,,,"""",1.5.5,domain chunking,1950 - 2014,"All of Canada, including transboundary",100 km^2,N/A,"""",WATroute,"""","""","""",TBD,"""",
2.16,,Intitial Climate Change Simulations - full domain (parameterization from iteration 2.01)-NorESM2-MM Historical,Forcings are downloading on FIR,Sujata,,,"""",1.5.5,domain chunking,1950 - 2014,"All of Canada, including transboundary",100 km^2,N/A,"""",WATroute,"""","""","""",TBD,"""",
,Lap 3,Explore the pros/cons of different: geofabrics /land cover / soil data /,,,,,,,,,,,,,,,,,,,
3.01,,Base case 1 - MERIT - CAMELS-SPAT - NALCMS - GSDE - Lumped parameterization-CaSRv3p2,,Zelalem,,,"""",1.5.5,domain chunking,1980 - 2018,CamelSpat basins,100 km^2,No,Merit modified to Camelspat,WATroute,"""","""","""",CaSR 3.2,"""",
3.02,,Base case 1 -  CLRH - NALCMS - GSDE - Lumped parameterization-CaSRv3p2,,Zelalem,,,"""",1.5.5,domain chunking,1980 - 2018,Routing Benchmark Basins,100 km^2,No,CLRH,WATroute,"""","""","""",CaSR 3.1,"""",
