           YEAR,           JDAY, QOMEAS_05BB001,  QOSIM_05BB001, QOMEAS_03KC004,  QOSIM_03KC004, QOMEAS_02GB001,  QOSIM_02GB001, QOMEAS_10LC017,  QOSIM_10LC017, QOMEAS_01AK004,  QOSIM_01AK004, QOMEAS_07OB001,  QOSIM_07OB001, QOMEAS_05AE027,  QOSIM_05AE027, QOMEAS_05AD007,  QOSIM_05AD007, QOMEAS_11AA031,  QOSIM_11AA031,QOMEAS_06174500, QOSIM_06174500,
           2081,              1,   40.30000    ,   12.35279    ,   685.0000    ,   411.9882    ,   28.30000    ,   8.841063    ,  -1.000000    ,  0.4295714E-01,   661.0000    ,   583.3445    ,   18.20000    ,   45.87344    ,   19.30000    ,   4.821527    ,   43.80000    ,   54.30230    ,   2.270000    ,   46.42339    ,   3.171500    ,   107.4716    ,
           2081,              2,   42.40000    ,   13.49570    ,   681.0000    ,   409.7752    ,   28.20000    ,   8.792916    ,  -1.000000    ,  0.4288089E-01,   460.0000    ,   504.5441    ,   19.90000    ,   43.93593    ,   18.00000    ,   14.18721    ,   57.90000    ,   66.20950    ,   2.120000    ,   61.39548    ,   3.114800    ,   114.8184    ,
           2081,              3,   39.80000    ,   13.16433    ,   673.0000    ,   407.3862    ,   30.00000    ,   8.758019    ,  -1.000000    ,  0.4279769E-01,   416.0000    ,   422.1021    ,   32.10000    ,   41.67048    ,   16.80000    ,   12.48775    ,   63.70000    ,   100.5394    ,   1.980000    ,   69.24081    ,   2.944900    ,   124.0550    ,
           2081,              4,   37.90000    ,   11.03457    ,   657.0000    ,   404.6146    ,   38.80000    ,   8.823292    ,  -1.000000    ,  0.4273606E-01,   470.0000    ,   392.2450    ,   43.50000    ,   39.44112    ,   16.10000    ,   7.908377    ,   60.80000    ,   119.2659    ,   1.840000    ,   61.06636    ,   2.860000    ,   134.8531    ,
           2081,              5,   37.00000    ,   9.726906    ,   658.0000    ,   402.1916    ,   41.10000    ,   10.42473    ,  -1.000000    ,  0.4269575E-01,   624.0000    ,   427.3956    ,   50.80000    ,   37.40696    ,   15.40000    ,   5.974634    ,   53.90000    ,   111.3122    ,   1.700000    ,   58.20059    ,   2.718400    ,   149.7502    ,
           2081,              6,   35.70000    ,   9.570972    ,   649.0000    ,   401.9901    ,   37.20000    ,   12.70259    ,  -1.000000    ,  0.4267599E-01,   1080.000    ,   538.1284    ,   57.10000    ,   35.54165    ,   14.70000    ,   5.127903    ,   49.80000    ,   98.19773    ,   1.530000    ,   57.87334    ,   2.576800    ,   171.2614    ,
           2081,              7,   34.50000    ,   9.539566    ,   636.0000    ,   405.0439    ,   36.10000    ,   17.12905    ,  -1.000000    ,  0.4261396E-01,   1210.000    ,   601.4642    ,   60.40000    ,   33.78911    ,   13.80000    ,   4.620579    ,   48.80000    ,   86.11326    ,   1.440000    ,   52.31329    ,   2.491900    ,   195.3409    ,
           2081,              8,   34.10000    ,   9.442676    ,   624.0000    ,   409.8856    ,   34.20000    ,   23.23697    ,  -1.000000    ,  0.4257687E-01,   794.0000    ,   670.4639    ,   62.40000    ,   32.12728    ,   12.70000    ,   4.326343    ,   38.20000    ,   74.07438    ,   1.330000    ,   46.73659    ,   2.378600    ,   216.7492    ,
           2081,              9,   34.00000    ,   9.447333    ,   620.0000    ,   410.0245    ,   32.60000    ,   28.47394    ,  -1.000000    ,  0.4254724E-01,   760.0000    ,   779.3038    ,   60.70000    ,   30.53330    ,   11.90000    ,   4.197785    ,   27.80000    ,   65.86664    ,   1.220000    ,   39.80498    ,   2.293700    ,   241.2977    ,
           2081,             10,   33.90000    ,   9.187542    ,   643.0000    ,   405.8665    ,   31.10000    ,   30.88174    ,  -1.000000    ,  0.4253539E-01,   808.0000    ,   1115.284    ,   59.20000    ,   29.07822    ,   11.50000    ,   4.181379    ,   22.20000    ,   59.58151    ,   1.100000    ,   31.43980    ,   2.293700    ,   269.4093    ,
